customer_id,usemonth,count
AS002855,2018-04,4
AS002855,2018-05,5
AS002855,2018-06,5
AS002855,2018-07,5
AS002855,2018-08,3
AS002855,2018-09,7
AS002855,2018-10,3
AS002855,2018-11,5
AS002855,2018-12,2
AS002855,2019-01,6
AS002855,2019-02,5
AS002855,2019-03,4
AS008805,2018-06,8
AS008805,2018-07,7
AS008805,2018-08,5
AS008805,2018-09,2
AS008805,2018-10,2
AS008805,2018-11,3
AS008805,2018-12,5
AS008805,2019-01,1
AS008805,2019-02,6
AS008805,2019-03,1
AS009013,2018-04,2
AS009373,2018-04,3
AS009373,2018-05,4
AS009373,2018-06,4
AS009373,2018-07,7
AS009373,2018-08,6
AS009373,2018-09,6
AS009373,2018-10,5
AS009373,2018-11,4
AS009373,2018-12,4
AS009373,2019-01,7
AS009373,2019-02,6
AS009373,2019-03,5
AS015233,2018-05,7
AS015233,2018-06,7
AS015233,2018-07,5
AS015233,2018-08,11
AS015233,2018-09,9
AS015233,2018-10,7
AS015233,2018-11,7
AS015233,2018-12,9
AS015233,2019-01,9
AS015233,2019-02,4
AS015233,2019-03,8
AS015315,2018-04,6
AS015315,2018-05,3
AS015315,2018-06,3
AS015315,2018-07,6
AS015315,2018-08,3
AS015315,2018-09,7
AS015315,2018-10,4
AS015315,2018-11,7
AS015315,2018-12,5
AS015315,2019-01,5
AS015315,2019-02,5
AS015315,2019-03,4
AS015739,2018-04,7
AS015739,2018-05,5
AS015739,2018-06,6
AS015739,2018-07,8
AS015739,2018-08,5
AS015739,2018-09,6
AS015739,2018-10,5
AS015739,2018-11,4
AS015739,2018-12,4
AS015739,2019-01,5
AS015739,2019-02,6
AS015739,2019-03,6
AS015746,2018-04,4
AS015746,2018-05,1
AS015746,2018-06,2
AS015746,2018-07,3
AS015746,2018-08,3
AS019120,2018-08,8
AS019120,2018-09,5
AS019120,2018-10,3
AS019860,2018-04,6
AS019860,2018-05,8
AS019860,2018-06,6
AS019860,2018-07,4
AS019860,2018-08,7
AS019860,2018-09,5
AS019860,2018-10,7
AS019860,2018-11,7
AS019860,2018-12,5
AS019860,2019-01,9
AS019860,2019-02,5
AS019860,2019-03,4
AS024181,2018-04,4
AS024181,2018-05,6
AS024181,2018-06,4
AS024181,2018-07,3
AS024181,2018-08,8
AS024181,2018-09,6
AS024181,2018-10,5
AS024181,2018-11,5
AS024181,2018-12,6
AS024181,2019-01,3
AS024181,2019-02,6
AS024181,2019-03,5
AS025956,2018-05,6
AS025956,2018-06,6
AS025956,2018-07,7
AS025956,2018-08,7
AS025956,2018-09,5
AS025956,2018-10,4
AS025956,2018-11,4
AS025956,2018-12,1
AS025956,2019-01,1
AS025956,2019-02,3
AS029624,2018-05,8
AS029624,2018-06,5
AS029624,2018-07,7
AS029624,2018-08,5
AS029624,2018-09,1
AS029624,2018-10,4
AS029624,2018-11,6
AS029624,2018-12,5
AS029624,2019-01,2
AS030404,2018-04,1
AS030404,2018-05,1
AS030590,2019-03,12
AS031206,2018-04,4
AS031206,2018-05,6
AS031206,2018-06,5
AS031206,2018-07,7
AS031206,2018-08,6
AS031206,2018-09,6
AS031206,2018-10,5
AS031206,2018-11,5
AS031206,2018-12,5
AS031206,2019-01,5
AS031206,2019-02,4
AS031206,2019-03,5
AS036678,2018-04,7
AS036678,2018-05,6
AS036678,2018-06,8
AS036678,2018-07,5
AS036678,2018-08,6
AS036678,2018-09,4
AS036678,2018-10,6
AS036678,2018-11,7
AS036678,2018-12,5
AS036678,2019-01,3
AS036678,2019-02,2
AS036678,2019-03,2
AS038564,2018-04,6
AS038564,2018-05,5
AS038564,2018-06,4
AS038564,2018-07,2
AS038564,2018-08,2
AS038564,2018-09,5
AS038564,2018-10,5
AS038564,2018-11,3
AS038564,2018-12,3
AS038564,2019-01,3
AS038564,2019-02,6
AS038564,2019-03,6
AS040841,2018-04,8
AS040841,2018-05,6
AS040841,2018-06,4
AS040841,2018-07,5
AS040841,2018-08,5
AS040841,2018-09,6
AS040841,2018-10,4
AS040841,2018-11,6
AS040841,2018-12,10
AS040841,2019-01,4
AS040841,2019-02,6
AS040841,2019-03,8
AS040860,2018-04,6
AS040860,2018-05,6
AS040860,2018-06,8
AS040860,2018-07,6
AS040860,2018-08,5
AS040860,2018-09,6
AS040860,2018-10,7
AS040860,2018-11,4
AS040860,2018-12,5
AS040860,2019-01,2
AS040860,2019-02,6
AS040860,2019-03,5
AS046594,2018-04,9
AS046594,2018-05,8
AS046594,2018-06,8
AS046594,2018-07,10
AS046594,2018-08,6
AS046594,2018-09,7
AS046594,2018-10,7
AS046594,2018-11,5
AS046594,2018-12,7
AS046594,2019-01,7
AS046594,2019-02,7
AS046594,2019-03,5
AS047907,2018-04,3
AS047907,2018-05,4
AS047907,2018-06,5
AS047907,2018-07,4
AS047907,2018-08,4
AS055659,2018-04,7
AS055659,2018-05,10
AS055659,2018-06,10
AS055659,2018-07,8
AS055659,2018-08,9
AS055659,2018-09,7
AS055659,2018-10,5
AS055659,2018-11,10
AS055659,2018-12,5
AS055659,2019-01,8
AS055659,2019-02,6
AS055659,2019-03,6
AS055680,2018-04,3
AS055680,2018-05,3
AS055680,2018-06,3
AS057808,2018-04,8
AS057808,2018-05,6
AS057808,2018-06,2
AS057808,2018-07,5
AS057808,2018-08,5
AS057808,2018-09,5
AS057808,2018-10,5
AS057808,2018-11,5
AS057808,2018-12,5
AS057808,2019-01,3
AS057808,2019-02,5
AS057808,2019-03,3
AS058623,2018-04,6
AS058623,2018-05,3
AS058623,2018-06,5
AS058623,2018-07,6
AS058623,2018-08,3
AS058623,2018-09,6
AS058623,2018-10,5
AS058623,2018-11,3
AS058623,2018-12,3
AS058623,2019-01,6
AS058623,2019-02,3
AS058623,2019-03,5
AS060041,2018-04,7
AS060041,2018-05,9
AS060041,2018-06,8
AS060041,2018-07,6
AS060041,2018-08,5
AS060041,2018-09,6
AS060041,2018-10,9
AS060041,2018-11,4
AS060041,2018-12,5
